,Start Station Name,End Station Name,Start Time (per 30min),Avg_Trip_Duration
203,Elm St/ University Ave (East Side),College Park- Gerrard Entrance,33.0,3.758333333333333
385,Union Station,Toronto Eaton Centre (Yonge St),33.0,11.141666666666666
260,Toronto Eaton Centre (Yonge St),1 Market St - SMART,33.0,11.1
526,Willcocks St / St. George St,Union Station,33.0,15.366666666666667
30,1 Market St - SMART,Victoria St / Queen St E,33.0,8.066666666666666
460,Victoria St / Queen St E,College Park- Gerrard Entrance,33.0,4.85
420,University Ave / Armoury St,Union Station,33.0,7.383333333333333
409,University Ave / Armoury St,College Park- Gerrard Entrance,33.0,5.7333333333333325
123,College Park- Gerrard Entrance,King St E / Jarvis St,33.0,7.741666666666666
253,King St E / Jarvis St,Victoria St / Queen St E,33.0,10.725
276,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,33.0,3.6999999999999997
139,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),34.0,4.127777777777777
23,1 Market St - SMART,Union Station,34.0,5.966666666666667
461,Victoria St / Queen St E,College Park- Gerrard Entrance,34.0,5.12962962962963
167,College Park- Gerrard Entrance,University Ave / Armoury St,34.0,6.508333333333333
392,Union Station,University Ave / Armoury St,34.0,7.45
370,Union Station,King St E / Jarvis St,34.0,15.075
421,University Ave / Armoury St,Union Station,34.0,6.01111111111111
94,Church St / Alexander St,Victoria St / Queen St E,34.0,9.6
183,College Park- Gerrard Entrance,Victoria St / Queen St E,34.0,4.016666666666667
386,Union Station,Toronto Eaton Centre (Yonge St),34.0,12.916666666666666
355,Union Station,Elm St/ University Ave (East Side),34.0,13.216666666666667
243,King St E / Jarvis St,Toronto Eaton Centre (Yonge St),34.0,10.208333333333332
204,Elm St/ University Ave (East Side),College Park- Gerrard Entrance,34.0,4.366666666666666
340,Union Station,College Park- Gerrard Entrance,34.0,14.75
323,Union Station,1 Market St - SMART,34.0,5.691666666666666
33,Church St / Alexander St,1 Market St - SMART,34.0,10.216666666666667
226,Elm St/ University Ave (East Side),Willcocks St / St. George St,34.0,19.3
441,Victoria St / Queen St E,Church St / Alexander St,34.0,7.179166666666667
233,King St E / Jarvis St,Church St / Alexander St,34.0,13.966666666666667
317,Toronto Eaton Centre (Yonge St),Willcocks St / St. George St,34.0,9.883333333333333
494,Victoria St / Queen St E,Union Station,34.0,8.566666666666666
498,Victoria St / Queen St E,University Ave / Armoury St,34.0,6.116666666666666
277,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,34.0,16.277777777777775
462,Victoria St / Queen St E,College Park- Gerrard Entrance,35.0,5.455555555555556
298,Toronto Eaton Centre (Yonge St),Union Station,35.0,6.661111111111111
278,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,35.0,2.8583333333333334
482,Victoria St / Queen St E,Toronto Eaton Centre (Yonge St),35.0,28.716666666666665
527,Willcocks St / St. George St,Union Station,35.0,14.583333333333334
387,Union Station,Toronto Eaton Centre (Yonge St),35.0,18.466666666666665
291,Toronto Eaton Centre (Yonge St),King St E / Jarvis St,35.0,6.05
324,Union Station,1 Market St - SMART,35.0,5.516666666666667
79,Church St / Alexander St,Union Station,35.0,13.425
410,University Ave / Armoury St,College Park- Gerrard Entrance,35.0,9.283333333333333
495,Victoria St / Queen St E,Union Station,35.0,11.816666666666666
442,Victoria St / Queen St E,Church St / Alexander St,35.0,6.7
184,College Park- Gerrard Entrance,Victoria St / Queen St E,35.0,6.877777777777777
